Năm,Số dân,±%,,
1995,4.640.400,—    ,,
1996,4.747.900,2.30%,,
1997,4.852.300,2.20%,,
1998,4.957.300,2.20%,,
1999,5.073.100,2.30%,,
2000,5.274.900,4.00%,,
2001,5.454.000,3.40%,,
2002,5.619.400,3.00%,,
2003,5.809.100,3.40%,,
2004,6.007.600,3.40%,,
2005,6.230.900,3.70%,,
2006,6.483.100,4.00%,,
2007,6.725.300,3.70%,,
2008,6.946.100,3.30%,,
2009,7.196.100,3.60%,,
2010,7.378.000,2.50%,,
2011,7.517.900,1.90%,,
2012,7.663.800,1.90%,,
2013,7.818.200,2.00%,,
2014,8.244.400,5.50%,,
2015,8.247.829,0.00%,,
2016,8.441.902,2.40%,,
,,,Latitude,Longitude
"Vietnam, Ho Chi Minh",,,10.8230989,106.6296638